Stock Code,Stock Name,Current Price,Market Value,Turnover,Net Profit
SZ.300315,掌趣科技,4.96,13492034510.08
SZ.300314,戴维医疗,12.37,3562560000.0
SZ.002671,龙泉股份,4.29,2418248744.34
SZ.002668,TCL智家,10.76,11665038965.28
SZ.300307,慈星股份,8.92,7084699081.92
SZ.300306,远方信息,12.27,3300124206.06
SZ.002666,德联集团,4.81,3790276637.81
SZ.300304,云意电气,7.7,6761706628.6
SZ.300303,聚飞光电,6.15,8661074071.05
SZ.002661,克明食品,10.13,3374685326.46
SZ.002660,茂硕电源,9.29,3313055716.51
SZ.002662,峰璟股份,3.63,5445000000.0
SZ.002658,雪迪龙,6.82,4335889501.68
SZ.300292,吴通控股,4.92,6601483672.08
SZ.002655,共达电声,13.62,4903200000.0
SZ.002654,万润科技,11.82,9991476070.08
SZ.300284,苏交科,9.23,11655900354.02
SZ.002651,利君股份,9.83,10158911800.0
SZ.002649,博彦科技,13.73,8036780424.36
SZ.300279,和晶科技,6.73,3291639567.7
SZ.002643,万润股份,11.07,10294756885.35
SZ.300278,华昌达,5.69,8088372030.52
SZ.002641,公元股份,4.14,5088448625.94
SZ.002637,赞宇科技,9.44,4440585440.0
SZ.002635,安洁科技,13.75,9070693170.0
SZ.002632,道明光学,8.73,5452750055.7
SZ.002592,ST八菱,5.88,1665987203.16
SZ.002627,三峡旅游,5.27,3818649262.06
SZ.300275,梅安森,13.34,4070785148.72
SZ.300272,开能健康,6.15,3549890152.65
SZ.002617,露笑科技,7.77,14941755866.31
SZ.002616,长青集团,5.86,4348259081.24
SH.601677,明泰铝业,12.31,15309996572.37
SZ.300265,通光线缆,8.67,3973417840.74
SZ.300263,隆华科技,7.52,6801537049.28
SZ.002615,哈尔斯,7.4,3450381216.8
SZ.002614,奥佳华,6.83,4258346216.16
SZ.300259,新天科技,3.54,4141097366.64
SZ.002613,北玻股份,3.95,4347246333.4
SZ.002611,东方精工,13.32,16220647648.8
SZ.300258,精锻科技,14.96,7682237657.6
SZ.300257,开山股份,9.51,9449469021.18
SZ.300254,仟源医药,9.19,2282047593.97
SH.601886,江河集团,5.8,6571411948.0
